threshold,precision,recall,f1
0.2553722,0.35405305308366375,0.7245640141295581,0.47567224579511136
0.25536403,0.3540461936763996,0.7245918282201763,0.47567204853265405
0.25537077,0.35405043592897384,0.7245709676522126,0.47567138220511906
0.25537217,0.3540518500900411,0.7245640141295581,0.47567116008782945
0.25902966,0.3569130825308629,0.7128681890245598,0.47567103584270964
0.255364,0.35404499077556595,0.7245918282201763,0.4756709628679483
0.25902286,0.3569058850150563,0.7128960031151782,0.4756708353921781
0.25536558,0.3540464048001685,0.7245848746975218,0.47567074075342075
0.2553698,0.3540492329646807,0.7245709676522126,0.4756702965121986
0.25537214,0.35405064710459344,0.7245640141295581,0.4756700743855037
0.2590295,0.3569118399660213,0.7128681890245598,0.47566993232819316
0.25536323,0.35404378788290614,0.7245918282201763,0.4756698772081982
0.2613066,0.358702258784949,0.7058312240981282,0.4756698750691198
0.2590218,0.35690464254880666,0.7128960031151782,0.4756697319216458
0.25536534,0.3540452018863565,0.7245848746975218,0.475669655084266
0.25535822,0.3540397571491182,0.7246057352654854,0.4756692358079101
0.25536978,0.3540480300085622,0.7245709676522126,0.47566921082423397
0.25537172,0.35404944412732064,0.7245640141295581,0.4756689886881339
0.25536263,0.3540425849984201,0.7245918282201763,0.4756687915534041
0.25537252,0.35405085828451827,0.7245570606069035,0.4756687665479778
0.26130652,0.3587009912186158,0.7058312240981282,0.47566876055829815
0.25902167,0.3569034000912075,0.7128960031151782,0.4756686284562332
0.25536507,0.3540439989807186,0.7245848746975218,0.4756685694200673
0.2590237,0.3569048887217888,0.7128890495925235,0.47566840267709054
0.25536573,0.3540454130014508,0.7245779211748672,0.47566834728267443
0.25535703,0.3540385543151071,0.7246057352654854,0.47566815017688
0.25536954,0.3540468270606183,0.7245709676522126,0.4756681251412255
0.2553716,0.3540482411582227,0.7245640141295581,0.47566790299572037
0.25902864,0.35690935486229336,0.7128681890245598,0.4756677253145206
0.2553622,0.35404138212210784,0.7245918282201763,0.47566770590356544
0.26130635,0.3586997236612412,0.7058312240981282,0.4756676460526994
0.25902143,0.35690215764225885,0.7128960031151782,0.4756675249959403
0.25903046,0.35691084365872083,0.7128612355019053,0.4756674995186162
0.26130673,0.3587012601508223,0.7058242705754736,0.4756674180049391
0.25902358,0.3569036462503568,0.7128890495925235,0.475667299207082
0.25536567,0.35404421008283443,0.7245779211748672,0.47566726161402684
0.259026,0.356905134899913,0.712882096069869,0.47566707341403325
0.2553565,0.3540373514892692,0.7246057352654854,0.4756670645508056
0.2553688,0.3540456241208489,0.7245709676522126,0.47566703946317307
0.25902706,0.356906623590929,0.7128751425472144,0.47566684761679395
0.26130462,0.3586969196900255,0.7058381776207827,0.4756667596057198
0.2590282,0.35690811232340675,0.7128681890245598,0.4756666218153642
0.25536212,0.3540401792539692,0.7245918282201763,0.47566662025868267
0.2613057,0.35869845611282497,0.7058312240981282,0.47566653155232325
0.25902104,0.3569009152019606,0.7128960031151782,0.47566642154076705
0.25537327,0.3540498664655155,0.7245501070842488,0.47566637298627307
0.26130664,0.35869999257905955,0.7058242705754736,0.47566630349465205
0.25535488,0.35403614867160427,0.7246057352654854,0.4756659789296865
0.2590255,0.3569038924146478,0.712882096069869,0.4756659699394288
0.25536782,0.35404442118925383,0.7245709676522126,0.4756659537900765
