feature,importance
TE_CARRIER_ROUTE,0.08815972800118012
DOY_SIN,0.0839751367645385
DOY_COS,0.07520573885825554
origin_origin_delay_rate_lag1,0.07466570289468571
carrier_route_carrier_route_delay_rate_roll30,0.07175250216076612
origin_origin_cancel_rate_lag1,0.03923166106655621
CARRIER_ROUTE_DELAY_RATE_EXPANDING,0.038462948894246146
origin_origin_delay_rate_roll30,0.03661476730603896
route_route_delay_rate_roll30,0.03392300333401877
TE_ROUTE,0.026911070645019797
W_PRECIPITATION_SUM,0.026595588577076442
carrier_route_carrier_route_delay_rate_lag1,0.025194134487798222
MONTH,0.019926824192432496
route_route_delay_rate_lag1,0.01653443731058028
W_PRECIPITATION_HOURS,0.015859983949533793
W_CLOUD_COVER_MEAN,0.015471300888078991
origin_origin_cancel_rate_roll30,0.015300810859172448
TAIL_DELAY_RATE_ROLL30,0.014070594826971186
W_WEATHER_CODE,0.013536572458459222
origin_origin_daily_flights_roll30,0.012056581777625692
