ACTUAL_DEP_HOUR,flights,delay_rate,cancel_rate
0,16127,0.63582814,0.0030383829
1,5289,0.7848365,0.002836075
2,1084,0.98616236,0.003690037
3,259,1.0,0.0
4,5676,0.034883723,0.0
5,49293,0.037308287,0.00010143428
6,78865,0.05761745,0.00015215875
7,119799,0.07719597,0.00014190435
8,159135,0.08977622,0.00033933454
9,144167,0.13998641,0.00020809201
10,135605,0.17382616,0.00022123077
11,132266,0.18814927,0.00046119184
12,111504,0.21763735,0.0003676998
13,127522,0.19880798,0.00043129813
14,120297,0.23085172,0.00068995904
15,120855,0.26275197,0.0008439866
16,121986,0.2657381,0.0007131966
17,124530,0.27477795,0.00060226454
18,129466,0.29720208,0.0005870267
19,136961,0.30633867,0.00059871055
20,131547,0.33862224,0.00092742516
21,108359,0.39941302,0.0011351156
22,88216,0.3374446,0.0010315588
23,40553,0.5828216,0.0014795453
