feature,corr_with_delay
carrier_route_carrier_route_delay_rate_roll14,0.20543141739227486
carrier_route_carrier_route_delay_rate_roll30,0.2000827874306366
route_route_delay_rate_roll14,0.17761331232974104
route_route_delay_rate_roll30,0.16846212080958084
CARRIER_ROUTE_DELAY_RATE_EXPANDING,0.1582055778374977
origin_origin_delay_rate_roll14,0.15412403198103075
TAIL_DELAY_RATE_ROLL30,0.14096677784274614
origin_origin_delay_rate_roll30,0.13742021997890388
PREV_PATTERN_DELAY_RATE_ROLL30,0.12329414111887618
ROUTE_DELAY_RATE_EXPANDING,0.11779021271945338
