column,missing_pct,dtype
PREV_PATTERN_DELAY_RATE_ROLL30,77.84,float64
PREV_PATTERN_CANCEL_RATE_ROLL30,77.82,float64
CARRIER_DELAY,77.08,float32
SECURITY_DELAY,77.08,float32
WEATHER_DELAY,77.08,float32
LATE_AIRCRAFT_DELAY,77.08,float32
NAS_DELAY,77.08,float32
TAIL_PREV_ARR_DELAY_PRIOR,48.42,float32
TAIL_PREV_DEP_DELAY_PRIOR,48.23,float32
PREV_ORIGIN_DEST,47.75,string
TAIL_PREV_CANCELLED_PRIOR,47.75,float32
carrier_route_carrier_route_delay_rate_roll60,4.58,float64
carrier_route_carrier_route_daily_flights_roll60,4.52,float64
carrier_route_carrier_route_cancel_rate_roll60,4.52,float64
route_route_delay_rate_roll60,3.97,float64
route_route_cancel_rate_roll60,3.94,float64
route_route_daily_flights_roll60,3.94,float64
origin_origin_delay_rate_roll60,3.8,float64
origin_origin_cancel_rate_roll60,3.8,float64
origin_origin_daily_flights_roll60,3.8,float64
TAIL_DELAY_RATE_ROLL30,2.62,float64
TAIL_CANCEL_RATE_ROLL30,2.59,float64
carrier_route_carrier_route_delay_rate_roll30,2.16,float64
carrier_route_carrier_route_cancel_rate_roll30,2.15,float64
carrier_route_carrier_route_daily_flights_roll30,2.15,float64
route_route_delay_rate_roll30,1.87,float64
route_route_daily_flights_roll30,1.87,float64
route_route_cancel_rate_roll30,1.87,float64
origin_origin_cancel_rate_roll30,1.81,float64
origin_origin_delay_rate_roll30,1.81,float64
origin_origin_daily_flights_roll30,1.81,float64
AIR_TIME,1.61,float32
ACTUAL_ELAPSED_TIME,1.61,float32
ARR_DEL15,1.61,float32
ARR_DELAY,1.61,float32
CARRIER_ROUTE_DELAY_RATE_EXPANDING,1.39,float64
CARRIER_ROUTE_CANCEL_RATE_EXPANDING,1.37,float64
TAXI_IN,1.36,float32
ARR_TIME,1.36,float32
TAXI_OUT,1.32,float32
DEP_DEL15,1.28,float32
DEP_DELAY,1.28,float32
DEP_TIME,1.28,float32
TARGET_DELAY15,1.28,float32
carrier_route_carrier_route_cancel_rate_roll14,0.94,float64
carrier_route_carrier_route_delay_rate_roll14,0.94,float64
carrier_route_carrier_route_daily_flights_roll14,0.94,float64
route_route_delay_rate_roll14,0.81,float64
route_route_cancel_rate_roll14,0.81,float64
route_route_daily_flights_roll14,0.81,float64
origin_origin_delay_rate_roll14,0.78,float64
origin_origin_cancel_rate_roll14,0.78,float64
origin_origin_daily_flights_roll14,0.78,float64
carrier_route_carrier_route_delay_rate_lag1,0.61,float32
ROUTE_DELAY_RATE_EXPANDING,0.58,float64
ROUTE_CANCEL_RATE_EXPANDING,0.58,float64
TAIL_PREV_DAYS_GAP,0.54,float64
route_route_delay_rate_lag1,0.41,float32
carrier_route_carrier_route_cancel_rate_lag1,0.3,float32
carrier_route_carrier_route_daily_flights_lag1,0.3,float64
origin_origin_delay_rate_lag1,0.27,float32
route_route_cancel_rate_lag1,0.26,float32
route_route_daily_flights_lag1,0.26,float64
TAIL_NUM,0.26,category
W_PRECIPITATION_SUM_LAG1,0.25,float64
origin_origin_cancel_rate_lag1,0.25,float32
W_WIND_GUSTS_10M_MAX_LAG1,0.25,float64
W_SNOWFALL_SUM_LAG1,0.25,float64
origin_origin_daily_flights_lag1,0.25,float64
W_TEMPERATURE_2M_MEAN_LAG1,0.25,float64
W_PRECIPITATION_SUM_ROLL7,0.11,float64
W_WIND_GUSTS_10M_MAX_ROLL7,0.11,float64
W_TEMPERATURE_2M_MEAN_ROLL7,0.11,float64
W_SNOWFALL_SUM_ROLL7,0.11,float64
ROUTE_OBS_BEFORE,0.0,int64
CARRIER_ROUTE_OBS_BEFORE,0.0,int64
TAIL_PREV_DEST_MATCH_ORIGIN,0.0,int8
YEAR,0.0,int16
MONTH,0.0,int8
DEST_CITY_NAME,0.0,object
QUARTER,0.0,int32
DAY_OF_YEAR,0.0,int32
IS_WEEKEND,0.0,int64
TARGET_CANCELLED,0.0,float32
FLIGHT_DATE,0.0,datetime64[ns]
DISTANCE,0.0,float32
CANCELLED,0.0,float32
DEST,0.0,category
W_FREEZE_FLAG,0.0,int64
DEST_AIRPORT_ID,0.0,int16
ORIGIN_CITY_NAME,0.0,object
ORIGIN,0.0,category
ORIGIN_AIRPORT_ID,0.0,int16
OP_CARRIER_FL_NUM,0.0,float32
OP_CARRIER_AIRLINE_ID,0.0,int16
DAY_OF_MONTH,0.0,int8
ROUTE,0.0,object
CARRIER_ROUTE,0.0,object
W_WEATHER_CODE,0.0,int64
W_TEMPERATURE_2M_MEAN,0.0,float64
W_HIGH_WIND_FLAG,0.0,int64
W_SNOW_FLAG,0.0,int64
W_PRECIP_FLAG,0.0,int64
W_SURFACE_PRESSURE_MEAN,0.0,float64
W_RELATIVE_HUMIDITY_2M_MEAN,0.0,int64
W_CLOUD_COVER_MEAN,0.0,int64
W_WIND_DIRECTION_10M_DOMINANT,0.0,int64
W_WIND_GUSTS_10M_MAX,0.0,float64
W_WIND_SPEED_10M_MAX,0.0,float64
W_PRECIPITATION_HOURS,0.0,float64
W_SNOWFALL_SUM,0.0,float64
W_RAIN_SUM,0.0,float64
W_PRECIPITATION_SUM,0.0,float64
W_TEMPERATURE_2M_MIN,0.0,float64
W_TEMPERATURE_2M_MAX,0.0,float64
LOG_DISTANCE,0.0,float32
